ar,bydel,indre_ytre,ost_vest,n_kandidater_nom,n_kandidater_put,befolkning
1997,Alna,ytre øst,østkant,15,0,NA
1997,Bjerke,ytre øst,østkant,8,2,NA
1997,Frogner,indre vest,vestkant,45,9,NA
1997,Gamle Oslo,indre øst,østkant,30,5,NA
1997,Grorud,ytre øst,østkant,18,0,NA
1997,Grünerløkka,indre øst,østkant,30,8,NA
1997,Nordre Aker,ytre vest,vestkant,19,3,NA
1997,Nordstrand,ytre vest,vestkant,19,3,NA
1997,Sagene,indre øst,østkant,17,2,NA
1997,St. Hanshaugen,indre vest,vestkant,23,3,NA
1997,Stovner,ytre øst,østkant,14,1,NA
1997,Søndre Nordstrand,ytre øst,østkant,13,5,NA
1997,Ullern,ytre vest,vestkant,13,4,NA
1997,Vestre Aker,ytre vest,vestkant,21,2,NA
1997,Østensjø,ytre øst,østkant,26,2,NA
1997,NA,NA,NA,26,4,NA
1999,Alna,ytre øst,østkant,107,10,NA
1999,Bjerke,ytre øst,østkant,60,2,NA
1999,Frogner,indre vest,vestkant,131,14,NA
1999,Gamle Oslo,indre øst,østkant,109,10,NA
1999,Grorud,ytre øst,østkant,69,5,NA
1999,Grünerløkka,indre øst,østkant,110,8,NA
1999,Marka,NA,NA,2,0,NA
1999,Nordre Aker,ytre vest,vestkant,70,2,NA
1999,Nordstrand,ytre vest,vestkant,80,8,NA
1999,Sagene,indre øst,østkant,99,14,NA
1999,St. Hanshaugen,indre vest,vestkant,86,6,NA
1999,Stovner,ytre øst,østkant,48,0,NA
1999,Søndre Nordstrand,ytre øst,østkant,68,8,NA
1999,Ullern,ytre vest,vestkant,45,2,NA
1999,Vestre Aker,ytre vest,vestkant,87,5,NA
1999,Østensjø,ytre øst,østkant,85,3,NA
1999,NA,NA,NA,1,0,NA
2001,Alna,ytre øst,østkant,22,3,42950
2001,Bjerke,ytre øst,østkant,12,2,23037
2001,Frogner,indre vest,vestkant,43,10,44647
2001,Gamle Oslo,indre øst,østkant,37,6,33260
2001,Grorud,ytre øst,østkant,17,1,24027
2001,Grünerløkka,indre øst,østkant,35,6,36019
2001,Nordre Aker,ytre vest,vestkant,17,4,38628
2001,Nordstrand,ytre vest,vestkant,25,2,42189
2001,Sagene,indre øst,østkant,23,3,27642
2001,St. Hanshaugen,indre vest,vestkant,24,4,25801
2001,Stovner,ytre øst,østkant,16,0,27273
2001,Søndre Nordstrand,ytre øst,østkant,7,2,31752
2001,Ullern,ytre vest,vestkant,17,3,26571
2001,Vestre Aker,ytre vest,vestkant,30,3,40031
2001,Østensjø,ytre øst,østkant,21,2,41839
2001,NA,NA,NA,71,10,NA
2003,NA,NA,NA,643,95,NA
2005,Alna,ytre øst,østkant,30,6,44151
2005,Bjerke,ytre øst,østkant,13,1,24448
2005,Frogner,indre vest,vestkant,34,4,45639
2005,Gamle Oslo,indre øst,østkant,25,6,35431
2005,Grorud,ytre øst,østkant,10,0,24729
2005,Grünerløkka,indre øst,østkant,20,8,37774
2005,Nordre Aker,ytre vest,vestkant,14,2,41060
2005,Nordstrand,ytre vest,vestkant,25,4,43297
2005,Sagene,indre øst,østkant,21,4,29654
2005,St. Hanshaugen,indre vest,vestkant,28,2,27619
2005,Stovner,ytre øst,østkant,14,0,28445
2005,Søndre Nordstrand,ytre øst,østkant,8,1,33501
2005,Ullern,ytre vest,vestkant,13,1,27179
2005,Vestre Aker,ytre vest,vestkant,21,2,40587
2005,Østensjø,ytre øst,østkant,16,2,42681
2005,NA,NA,NA,47,5,NA
