ar,bydel,indre_ytre,ost_vest,n_kandidater_nom,n_kandidater_put,befolkning
1995,Nordstrand,ytre vest,vestkant,51,8,NA
1995,Sagene,indre øst,østkant,34,4,NA
1995,St. Hanshaugen,indre vest,vestkant,34,4,NA
1995,Stovner,ytre øst,østkant,25,4,NA
1995,Søndre Nordstrand,ytre øst,østkant,29,3,NA
1995,Ullern,ytre vest,vestkant,29,4,NA
1995,Vestre Aker,ytre vest,vestkant,54,13,NA
1995,Østensjø,ytre øst,østkant,46,2,NA
1995,NA,NA,NA,4,2,NA
1997,Alna,ytre øst,østkant,6,0,NA
1997,Bjerke,ytre øst,østkant,3,1,NA
1997,Frogner,indre vest,vestkant,17,5,NA
1997,Gamle Oslo,indre øst,østkant,12,5,NA
1997,Grorud,ytre øst,østkant,6,0,NA
1997,Grünerløkka,indre øst,østkant,18,6,NA
1997,Nordre Aker,ytre vest,vestkant,9,1,NA
1997,Nordstrand,ytre vest,vestkant,9,2,NA
1997,Sagene,indre øst,østkant,8,2,NA
1997,St. Hanshaugen,indre vest,vestkant,11,1,NA
1997,Stovner,ytre øst,østkant,9,0,NA
1997,Søndre Nordstrand,ytre øst,østkant,5,2,NA
1997,Ullern,ytre vest,vestkant,9,4,NA
1997,Vestre Aker,ytre vest,vestkant,12,1,NA
1997,Østensjø,ytre øst,østkant,17,2,NA
1997,NA,NA,NA,5,1,NA
1999,Alna,ytre øst,østkant,46,10,NA
1999,Bjerke,ytre øst,østkant,19,2,NA
1999,Frogner,indre vest,vestkant,64,8,NA
1999,Gamle Oslo,indre øst,østkant,52,8,NA
1999,Grorud,ytre øst,østkant,25,3,NA
1999,Grünerløkka,indre øst,østkant,50,4,NA
1999,Marka,NA,NA,2,0,NA
1999,Nordre Aker,ytre vest,vestkant,48,2,NA
1999,Nordstrand,ytre vest,vestkant,33,6,NA
1999,Sagene,indre øst,østkant,45,12,NA
1999,St. Hanshaugen,indre vest,vestkant,39,6,NA
1999,Stovner,ytre øst,østkant,22,0,NA
1999,Søndre Nordstrand,ytre øst,østkant,32,4,NA
1999,Ullern,ytre vest,vestkant,27,2,NA
1999,Vestre Aker,ytre vest,vestkant,40,5,NA
1999,Østensjø,ytre øst,østkant,43,3,NA
1999,NA,NA,NA,1,0,NA
2001,Alna,ytre øst,østkant,10,1,42950
2001,Bjerke,ytre øst,østkant,4,1,23037
2001,Frogner,indre vest,vestkant,21,4,44647
2001,Gamle Oslo,indre øst,østkant,15,3,33260
2001,Grorud,ytre øst,østkant,5,1,24027
2001,Grünerløkka,indre øst,østkant,16,5,36019
2001,Nordre Aker,ytre vest,vestkant,11,2,38628
2001,Nordstrand,ytre vest,vestkant,11,2,42189
2001,Sagene,indre øst,østkant,10,2,27642
2001,St. Hanshaugen,indre vest,vestkant,8,2,25801
2001,Stovner,ytre øst,østkant,7,0,27273
2001,Søndre Nordstrand,ytre øst,østkant,5,1,31752
2001,Ullern,ytre vest,vestkant,11,3,26571
2001,Vestre Aker,ytre vest,vestkant,9,1,40031
2001,Østensjø,ytre øst,østkant,13,1,41839
2001,NA,NA,NA,11,4,NA
2003,NA,NA,NA,366,73,NA
2005,Alna,ytre øst,østkant,14,3,44151
2005,Bjerke,ytre øst,østkant,5,1,24448
2005,Frogner,indre vest,vestkant,22,4,45639
2005,Gamle Oslo,indre øst,østkant,16,6,35431
2005,Grorud,ytre øst,østkant,5,0,24729
2005,Grünerløkka,indre øst,østkant,13,4,37774
2005,Nordre Aker,ytre vest,vestkant,11,2,41060
2005,Nordstrand,ytre vest,vestkant,8,1,43297
2005,Sagene,indre øst,østkant,14,4,29654
2005,St. Hanshaugen,indre vest,vestkant,18,1,27619
2005,Stovner,ytre øst,østkant,8,0,28445
2005,Søndre Nordstrand,ytre øst,østkant,6,1,33501
2005,Ullern,ytre vest,vestkant,8,1,27179
2005,Vestre Aker,ytre vest,vestkant,14,1,40587
2005,Østensjø,ytre øst,østkant,9,2,42681
2005,NA,NA,NA,6,1,NA
2007,Alna,ytre øst,østkant,28,7,44820
2007,Bjerke,ytre øst,østkant,11,2,25530
2007,Frogner,indre vest,vestkant,44,8,46768
2007,Gamle Oslo,indre øst,østkant,61,11,37717
2007,Grorud,ytre øst,østkant,20,3,25359
2007,Grünerløkka,indre øst,østkant,36,2,40405
2007,Nordre Aker,ytre vest,vestkant,34,5,42692
2007,Nordstrand,ytre vest,vestkant,27,6,44423
2007,Sagene,indre øst,østkant,29,3,31428
2007,St. Hanshaugen,indre vest,vestkant,41,8,29082
2007,Stovner,ytre øst,østkant,24,1,28936
2007,Søndre Nordstrand,ytre øst,østkant,30,6,34444
2007,Ullern,ytre vest,vestkant,21,5,28331
2007,Vestre Aker,ytre vest,vestkant,33,2,41302
2007,Østensjø,ytre øst,østkant,26,6,44036
2007,NA,NA,NA,1,0,NA
2009,Alna,ytre øst,østkant,11,3,46029
2009,Bjerke,ytre øst,østkant,7,0,26863
2009,Frogner,indre vest,vestkant,22,6,49058
2009,Gamle Oslo,indre øst,østkant,21,6,41452
2009,Grorud,ytre øst,østkant,7,0,26020
2009,Grünerløkka,indre øst,østkant,16,3,43960
2009,Nordre Aker,ytre vest,vestkant,14,0,45024
2009,Nordstrand,ytre vest,vestkant,18,1,45710
2009,Sagene,indre øst,østkant,11,4,33631
2009,St. Hanshaugen,indre vest,vestkant,10,2,31550
2009,Stovner,ytre øst,østkant,9,1,29651
2009,Søndre Nordstrand,ytre øst,østkant,14,1,35258
2009,Ullern,ytre vest,vestkant,13,2,29839
2009,Vestre Aker,ytre vest,vestkant,17,3,42756
2009,Østensjø,ytre øst,østkant,11,1,45042
2009,NA,NA,NA,5,1,NA
2011,Alna,ytre øst,østkant,27,5,47025
2011,Bjerke,ytre øst,østkant,24,2,28226
2011,Frogner,indre vest,vestkant,56,11,51120
2011,Gamle Oslo,indre øst,østkant,60,7,43770
2011,Grorud,ytre øst,østkant,23,3,26291
2011,Grünerløkka,indre øst,østkant,45,5,47255
2011,Nordre Aker,ytre vest,vestkant,38,2,47433
2011,Nordstrand,ytre vest,vestkant,28,3,46888
2011,Sagene,indre øst,østkant,36,5,35115
2011,St. Hanshaugen,indre vest,vestkant,49,9,33137
2011,Stovner,ytre øst,østkant,18,3,30178
2011,Søndre Nordstrand,ytre øst,østkant,33,5,35843
2011,Ullern,ytre vest,vestkant,28,7,30744
2011,Vestre Aker,ytre vest,vestkant,36,2,44320
2011,Østensjø,ytre øst,østkant,37,4,46244
2011,NA,NA,NA,4,1,NA
2013,Alna,ytre øst,østkant,12,3,48062
2013,Bjerke,ytre øst,østkant,9,1,29617
2013,Frogner,indre vest,vestkant,22,6,53573
2013,Gamle Oslo,indre øst,østkant,22,4,46290
2013,Grorud,ytre øst,østkant,6,1,26888
2013,Grünerløkka,indre øst,østkant,20,5,50506
2013,Nordre Aker,ytre vest,vestkant,10,1,48413
2013,Nordstrand,ytre vest,vestkant,16,5,48347
2013,Sagene,indre øst,østkant,18,2,37053
2013,St. Hanshaugen,indre vest,vestkant,17,2,34982
2013,Stovner,ytre øst,østkant,10,0,30752
2013,Søndre Nordstrand,ytre øst,østkant,10,1,36659
2013,Ullern,ytre vest,vestkant,9,0,31443
2013,Vestre Aker,ytre vest,vestkant,18,2,45715
2013,Østensjø,ytre øst,østkant,16,0,47806
2013,NA,NA,NA,5,1,NA
2015,Alna,ytre øst,østkant,34,7,48770
2015,Bjerke,ytre øst,østkant,22,1,30502
2015,Frogner,indre vest,vestkant,48,6,55965
2015,Gamle Oslo,indre øst,østkant,62,10,49853
2015,Grorud,ytre øst,østkant,22,2,27283
2015,Grünerløkka,indre øst,østkant,52,6,54701
2015,Nordre Aker,ytre vest,vestkant,30,3,49337
2015,Nordstrand,ytre vest,vestkant,36,6,49428
2015,Sagene,indre øst,østkant,31,3,39918
2015,St. Hanshaugen,indre vest,vestkant,39,8,36218
2015,Stovner,ytre øst,østkant,21,1,31669
2015,Søndre Nordstrand,ytre øst,østkant,29,3,37913
2015,Ullern,ytre vest,vestkant,24,5,32124
2015,Vestre Aker,ytre vest,vestkant,37,8,47024
2015,Østensjø,ytre øst,østkant,35,8,49133
2017,Alna,ytre øst,østkant,10,1,49282
2017,Bjerke,ytre øst,østkant,6,2,31510
2017,Frogner,indre vest,vestkant,16,4,57551
2017,Gamle Oslo,indre øst,østkant,32,5,53241
2017,Grorud,ytre øst,østkant,5,1,27566
2017,Grünerløkka,indre øst,østkant,26,4,57567
2017,Nordre Aker,ytre vest,vestkant,7,0,50224
2017,Nordstrand,ytre vest,vestkant,8,4,50645
2017,Sagene,indre øst,østkant,18,1,42442
2017,St. Hanshaugen,indre vest,vestkant,17,1,37849
2017,Stovner,ytre øst,østkant,11,0,32527
2017,Søndre Nordstrand,ytre øst,østkant,13,2,38672
2017,Ullern,ytre vest,vestkant,10,3,33257
2017,Vestre Aker,ytre vest,vestkant,15,6,48229
2017,Østensjø,ytre øst,østkant,19,0,49973
2017,NA,NA,NA,6,2,NA
2019,Alna,ytre øst,østkant,28,4,49457
2019,Bjerke,ytre øst,østkant,25,1,32500
2019,Frogner,indre vest,vestkant,39,6,58897
2019,Gamle Oslo,indre øst,østkant,73,10,55683
2019,Grorud,ytre øst,østkant,22,4,27583
2019,Grünerløkka,indre øst,østkant,59,8,60844
2019,Nordre Aker,ytre vest,vestkant,37,3,51558
2019,Nordstrand,ytre vest,vestkant,39,5,51882
2019,Sagene,indre øst,østkant,33,5,43801
2019,St. Hanshaugen,indre vest,vestkant,39,6,38400
2019,Stovner,ytre øst,østkant,22,2,32909
2019,Søndre Nordstrand,ytre øst,østkant,32,4,38803
2019,Ullern,ytre vest,vestkant,26,4,33760
2019,Vestre Aker,ytre vest,vestkant,29,4,49153
2019,Østensjø,ytre øst,østkant,42,11,50427
2019,NA,NA,NA,2,0,NA
2021,Alna,ytre øst,østkant,18,2,49576
2021,Bjerke,ytre øst,østkant,8,1,34003
2021,Frogner,indre vest,vestkant,23,3,59015
2021,Gamle Oslo,indre øst,østkant,31,4,59875
2021,Grorud,ytre øst,østkant,8,1,27456
2021,Grünerløkka,indre øst,østkant,19,6,63455
2021,Nordre Aker,ytre vest,vestkant,9,0,52632
2021,Nordstrand,ytre vest,vestkant,14,4,52581
2021,Sagene,indre øst,østkant,11,1,45674
2021,St. Hanshaugen,indre vest,vestkant,20,3,38864
2021,Stovner,ytre øst,østkant,9,1,33279
2021,Søndre Nordstrand,ytre øst,østkant,16,3,39098
2021,Ullern,ytre vest,vestkant,10,0,34892
2021,Vestre Aker,ytre vest,vestkant,12,3,50560
2021,Østensjø,ytre øst,østkant,12,2,50793
2021,NA,NA,NA,7,2,NA
2023,Alna,ytre øst,østkant,27,4,49759
2023,Bjerke,ytre øst,østkant,19,1,36335
2023,Frogner,indre vest,vestkant,37,3,60163
2023,Gamle Oslo,indre øst,østkant,62,13,61756
2023,Grorud,ytre øst,østkant,30,3,27773
2023,Grünerløkka,indre øst,østkant,58,9,64270
2023,Nordre Aker,ytre vest,vestkant,34,3,53697
2023,Nordstrand,ytre vest,vestkant,39,4,53151
2023,Sagene,indre øst,østkant,33,9,46984
2023,St. Hanshaugen,indre vest,vestkant,43,7,39487
2023,Stovner,ytre øst,østkant,22,2,33755
2023,Søndre Nordstrand,ytre øst,østkant,29,4,39127
2023,Ullern,ytre vest,vestkant,27,0,35198
2023,Vestre Aker,ytre vest,vestkant,29,4,51487
2023,Østensjø,ytre øst,østkant,33,7,51340
2025,Alna,ytre øst,østkant,18,1,50671
2025,Bjerke,ytre øst,østkant,9,1,37053
2025,Frogner,indre vest,vestkant,20,3,60533
2025,Gamle Oslo,indre øst,østkant,32,8,64554
2025,Grorud,ytre øst,østkant,12,0,28228
2025,Grünerløkka,indre øst,østkant,19,7,66404
2025,Nordre Aker,ytre vest,vestkant,11,3,55100
2025,Nordstrand,ytre vest,vestkant,13,2,54883
2025,Sagene,indre øst,østkant,11,0,47801
2025,St. Hanshaugen,indre vest,vestkant,15,1,39840
2025,Stovner,ytre øst,østkant,9,1,34577
2025,Søndre Nordstrand,ytre øst,østkant,14,2,39297
2025,Ullern,ytre vest,vestkant,13,0,35668
2025,Vestre Aker,ytre vest,vestkant,15,3,52254
2025,Østensjø,ytre øst,østkant,14,5,52211
2025,NA,NA,NA,2,0,NA
