ar,bydel,indre_ytre,ost_vest,n_kandidater_nom,n_kandidater_put
1999,Alna,ytre øst,østkant,107,10
1999,Bjerke,ytre øst,østkant,60,2
1999,Frogner,indre vest,vestkant,131,14
1999,Gamle Oslo,indre øst,østkant,109,10
1999,Grorud,ytre øst,østkant,69,5
1999,Grünerløkka,indre øst,østkant,110,8
1999,Marka,NA,NA,2,0
1999,Nordre Aker,ytre vest,vestkant,70,2
1999,Nordstrand,ytre vest,vestkant,80,8
1999,Sagene,indre øst,østkant,99,14
1999,St. Hanshaugen,indre vest,vestkant,86,6
1999,Stovner,ytre øst,østkant,48,0
1999,Søndre Nordstrand,ytre øst,østkant,68,8
1999,Ullern,ytre vest,vestkant,45,2
1999,Vestre Aker,ytre vest,vestkant,87,5
1999,Østensjø,ytre øst,østkant,85,3
1999,NA,NA,NA,1,0
2001,Alna,ytre øst,østkant,22,3
2001,Bjerke,ytre øst,østkant,12,2
2001,Frogner,indre vest,vestkant,43,10
2001,Gamle Oslo,indre øst,østkant,37,6
2001,Grorud,ytre øst,østkant,17,1
2001,Grünerløkka,indre øst,østkant,35,6
2001,Nordre Aker,ytre vest,vestkant,17,4
2001,Nordstrand,ytre vest,vestkant,25,2
2001,Sagene,indre øst,østkant,23,3
2001,St. Hanshaugen,indre vest,vestkant,24,4
2001,Stovner,ytre øst,østkant,16,0
2001,Søndre Nordstrand,ytre øst,østkant,7,2
2001,Ullern,ytre vest,vestkant,17,3
2001,Vestre Aker,ytre vest,vestkant,30,3
2001,Østensjø,ytre øst,østkant,21,2
2001,NA,NA,NA,71,10
2003,NA,NA,NA,643,95
2005,Alna,ytre øst,østkant,30,6
2005,Bjerke,ytre øst,østkant,13,1
2005,Frogner,indre vest,vestkant,34,4
2005,Gamle Oslo,indre øst,østkant,25,6
2005,Grorud,ytre øst,østkant,10,0
2005,Grünerløkka,indre øst,østkant,20,8
2005,Nordre Aker,ytre vest,vestkant,14,2
2005,Nordstrand,ytre vest,vestkant,25,4
2005,Sagene,indre øst,østkant,21,4
2005,St. Hanshaugen,indre vest,vestkant,28,2
2005,Stovner,ytre øst,østkant,14,0
2005,Søndre Nordstrand,ytre øst,østkant,8,1
2005,Ullern,ytre vest,vestkant,13,1
2005,Vestre Aker,ytre vest,vestkant,21,2
2005,Østensjø,ytre øst,østkant,16,2
2005,NA,NA,NA,47,5
2007,Alna,ytre øst,østkant,59,11
2007,Bjerke,ytre øst,østkant,29,3
2007,Frogner,indre vest,vestkant,78,10
2007,Gamle Oslo,indre øst,østkant,94,12
2007,Grorud,ytre øst,østkant,35,3
2007,Grünerløkka,indre øst,østkant,61,3
2007,Nordre Aker,ytre vest,vestkant,59,5
2007,Nordstrand,ytre vest,vestkant,53,10
2007,Sagene,indre øst,østkant,50,4
2007,St. Hanshaugen,indre vest,vestkant,80,13
2007,Stovner,ytre øst,østkant,35,1
2007,Søndre Nordstrand,ytre øst,østkant,39,6
2007,Ullern,ytre vest,vestkant,33,5
2007,Vestre Aker,ytre vest,vestkant,53,3
2007,Østensjø,ytre øst,østkant,44,7
2007,NA,NA,NA,4,1
2009,Alna,ytre øst,østkant,30,7
2009,Bjerke,ytre øst,østkant,12,0
2009,Frogner,indre vest,vestkant,36,8
2009,Gamle Oslo,indre øst,østkant,29,6
2009,Grorud,ytre øst,østkant,17,0
2009,Grünerløkka,indre øst,østkant,27,3
2009,Nordre Aker,ytre vest,vestkant,21,0
2009,Nordstrand,ytre vest,vestkant,28,5
2009,Sagene,indre øst,østkant,17,4
2009,St. Hanshaugen,indre vest,vestkant,21,3
2009,Stovner,ytre øst,østkant,16,1
2009,Søndre Nordstrand,ytre øst,østkant,19,3
2009,Ullern,ytre vest,vestkant,16,2
2009,Vestre Aker,ytre vest,vestkant,28,4
2009,Østensjø,ytre øst,østkant,18,1
2009,NA,NA,NA,47,5
2011,Alna,ytre øst,østkant,49,9
2011,Bjerke,ytre øst,østkant,32,3
2011,Frogner,indre vest,vestkant,64,11
2011,Gamle Oslo,indre øst,østkant,64,7
2011,Grorud,ytre øst,østkant,34,4
2011,Grünerløkka,indre øst,østkant,50,5
2011,Nordre Aker,ytre vest,vestkant,46,2
2011,Nordstrand,ytre vest,vestkant,35,5
2011,Sagene,indre øst,østkant,43,5
2011,St. Hanshaugen,indre vest,vestkant,59,11
2011,Stovner,ytre øst,østkant,24,3
2011,Søndre Nordstrand,ytre øst,østkant,33,5
2011,Ullern,ytre vest,vestkant,32,8
2011,Vestre Aker,ytre vest,vestkant,42,3
2011,Østensjø,ytre øst,østkant,43,4
2011,NA,NA,NA,4,1
2013,Alna,ytre øst,østkant,31,7
2013,Bjerke,ytre øst,østkant,13,2
2013,Frogner,indre vest,vestkant,38,8
2013,Gamle Oslo,indre øst,østkant,32,5
2013,Grorud,ytre øst,østkant,17,1
2013,Grünerløkka,indre øst,østkant,34,5
2013,Nordre Aker,ytre vest,vestkant,18,2
2013,Nordstrand,ytre vest,vestkant,25,7
2013,Sagene,indre øst,østkant,29,2
2013,St. Hanshaugen,indre vest,vestkant,25,3
2013,Stovner,ytre øst,østkant,19,0
2013,Søndre Nordstrand,ytre øst,østkant,14,1
2013,Ullern,ytre vest,vestkant,20,1
2013,Vestre Aker,ytre vest,vestkant,31,4
2013,Østensjø,ytre øst,østkant,21,0
2013,NA,NA,NA,54,4
2015,Alna,ytre øst,østkant,47,10
2015,Bjerke,ytre øst,østkant,26,1
2015,Frogner,indre vest,vestkant,57,8
2015,Gamle Oslo,indre øst,østkant,80,10
2015,Grorud,ytre øst,østkant,28,3
2015,Grünerløkka,indre øst,østkant,61,6
2015,Nordre Aker,ytre vest,vestkant,38,3
2015,Nordstrand,ytre vest,vestkant,45,6
2015,Sagene,indre øst,østkant,44,6
2015,St. Hanshaugen,indre vest,vestkant,47,11
2015,Stovner,ytre øst,østkant,28,2
2015,Søndre Nordstrand,ytre øst,østkant,37,4
2015,Ullern,ytre vest,vestkant,31,5
2015,Vestre Aker,ytre vest,vestkant,47,10
2015,Østensjø,ytre øst,østkant,43,8
2017,Alna,ytre øst,østkant,25,3
2017,Bjerke,ytre øst,østkant,10,3
2017,Frogner,indre vest,vestkant,31,5
2017,Gamle Oslo,indre øst,østkant,47,5
2017,Grorud,ytre øst,østkant,7,1
2017,Grünerløkka,indre øst,østkant,39,6
2017,Nordre Aker,ytre vest,vestkant,17,0
2017,Nordstrand,ytre vest,vestkant,19,5
2017,Sagene,indre øst,østkant,33,4
2017,St. Hanshaugen,indre vest,vestkant,32,4
2017,Stovner,ytre øst,østkant,20,0
2017,Søndre Nordstrand,ytre øst,østkant,24,2
2017,Ullern,ytre vest,vestkant,17,3
2017,Vestre Aker,ytre vest,vestkant,28,6
2017,Østensjø,ytre øst,østkant,29,1
2017,NA,NA,NA,66,8
2019,Alna,ytre øst,østkant,47,8
2019,Bjerke,ytre øst,østkant,29,1
2019,Frogner,indre vest,vestkant,59,9
2019,Gamle Oslo,indre øst,østkant,103,12
2019,Grorud,ytre øst,østkant,26,4
2019,Grünerløkka,indre øst,østkant,88,10
2019,Nordre Aker,ytre vest,vestkant,53,4
2019,Nordstrand,ytre vest,vestkant,48,7
2019,Sagene,indre øst,østkant,47,8
2019,St. Hanshaugen,indre vest,vestkant,59,9
2019,Stovner,ytre øst,østkant,29,2
2019,Søndre Nordstrand,ytre øst,østkant,41,4
2019,Ullern,ytre vest,vestkant,34,5
2019,Vestre Aker,ytre vest,vestkant,43,5
2019,Østensjø,ytre øst,østkant,68,13
2019,NA,NA,NA,2,0
2021,Alna,ytre øst,østkant,32,2
2021,Bjerke,ytre øst,østkant,12,2
2021,Frogner,indre vest,vestkant,45,4
2021,Gamle Oslo,indre øst,østkant,50,5
2021,Grorud,ytre øst,østkant,13,1
2021,Grünerløkka,indre øst,østkant,38,7
2021,Nordre Aker,ytre vest,vestkant,18,1
2021,Nordstrand,ytre vest,vestkant,30,9
2021,Sagene,indre øst,østkant,28,2
2021,St. Hanshaugen,indre vest,vestkant,28,6
2021,Stovner,ytre øst,østkant,22,1
2021,Søndre Nordstrand,ytre øst,østkant,27,4
2021,Ullern,ytre vest,vestkant,22,0
